user_id,age_group,skin_type,acne_type,acne_severity,breakout_location,product_sensitivity,allergen,skin_concern,humidity,pollution,temperature,hormonal_phase,recommended_treatment
U0031,18-24,Normal,Papules,Moderate,T-Zone (forehead/nose),Sometimes reacts,None,Large pores,Low,Medium,Cold,Menstrual,Niacinamide Serum
U0050,18-24,Sensitive,Pustules,Moderate,Cheeks and jawline,Sometimes reacts,Parabens,Dark spots/Uneven tone,Low,Medium,Moderate,Luteal,Soothing Cleanser
U0241,25-34,Sensitive,Cyst,Severe,T-Zone (forehead/nose),Sometimes reacts,Parabens,Dryness or flakiness,Low,Medium,Cold,Luteal,Retinoid Treatment
U0310,25-34,Combination,Papules,Moderate,All over face,Often reacts,Fragrance,Acne and breakouts,Medium,High,Hot,Luteal,Soothing Cleanser
U0353,35-44,Dry,Blackheads,Mild,T-Zone (forehead/nose),Often reacts,Fragrance,Oily/Shiny skin,Low,Medium,Hot,None,Soothing Cleanser
U0125,13-17,Dry,Whiteheads,Moderate,All over face,Often reacts,Alcohol,Large pores,Low,High,Cold,Menstrual,Soothing Cleanser
U1158,18-24,Dry,Cyst,Severe,Jawline and chin,Rarely reacts,Fragrance,Large pores,Medium,Low,Cold,Ovulation,Retinoid Treatment
U0651,45+,Dry,Pustules,Moderate,Jawline and chin,Often reacts,Fragrance,Oily/Shiny skin,Low,Low,Cold,None,Soothing Cleanser
U0071,45+,Sensitive,Blackheads,Mild,All over face,Often reacts,Alcohol,Dryness or flakiness,High,Medium,Hot,Ovulation,Soothing Cleanser
U1498,18-24,Sensitive,Pustules,Moderate,T-Zone (forehead/nose),Sometimes reacts,None,Anti-aging,Medium,Low,Hot,Menstrual,Soothing Cleanser
U0702,18-24,Normal,Blackheads,Mild,Jawline and chin,Often reacts,Parabens,Dark spots/Uneven tone,Medium,Low,Cold,None,Soothing Cleanser
U1103,35-44,Combination,Blackheads,Moderate,All over face,Rarely reacts,Fragrance,Oily/Shiny skin,High,Medium,Moderate,Ovulation,BHA Exfoliant
U1317,35-44,Dry,Whiteheads,Mild,Cheeks and jawline,Sometimes reacts,Alcohol,Dryness or flakiness,High,Medium,Moderate,Ovulation,Gentle Hydrating Cleanser
U1104,45+,Combination,Pustules,Moderate,T-Zone (forehead/nose),Rarely reacts,Alcohol,Oily/Shiny skin,High,Medium,Hot,Follicular,Oil Control Moisturizer
U1314,13-17,Combination,Whiteheads,Mild,T-Zone (forehead/nose),Often reacts,Sulfates,Anti-aging,Medium,High,Moderate,None,Soothing Cleanser
U1482,25-34,Normal,Blackheads,Moderate,Jawline and chin,Sometimes reacts,Fragrance,Dryness or flakiness,Low,High,Cold,Ovulation,Soothing Cleanser
U0584,35-44,Sensitive,Blackheads,Mild,Cheeks and jawline,Sometimes reacts,Alcohol,Dryness or flakiness,High,Low,Hot,None,Soothing Cleanser
U1217,13-17,Normal,Blackheads,Severe,All over face,Often reacts,Sulfates,Dryness or flakiness,Medium,Medium,Hot,None,Retinoid Treatment
U1302,13-17,Oily,Pustules,Severe,Jawline and chin,Rarely reacts,Alcohol,Oily/Shiny skin,Low,High,Cold,Follicular,Retinoid Treatment
U0501,45+,Dry,Blackheads,Mild,Jawline and chin,Sometimes reacts,Sulfates,Dark spots/Uneven tone,Low,Low,Moderate,None,Niacinamide Serum
U1401,18-24,Normal,Papules,Mild,T-Zone (forehead/nose),Sometimes reacts,None,Dryness or flakiness,High,Low,Cold,Menstrual,Niacinamide Serum
U1189,45+,Normal,Cyst,Severe,All over face,Rarely reacts,Fragrance,Oily/Shiny skin,Low,High,Hot,Luteal,Retinoid Treatment
U0486,13-17,Combination,Cyst,Severe,Jawline and chin,Rarely reacts,None,Acne and breakouts,Low,Low,Hot,Luteal,Benzoyl Peroxide Treatment
U0883,25-34,Normal,Papules,Mild,T-Zone (forehead/nose),Sometimes reacts,Alcohol,Dryness or flakiness,Medium,Medium,Moderate,None,Gentle Hydrating Cleanser
U0950,45+,Sensitive,Pustules,Moderate,Cheeks and jawline,Rarely reacts,Parabens,Oily/Shiny skin,High,High,Moderate,Follicular,Soothing Cleanser
U0611,45+,Dry,Pustules,Moderate,Cheeks and jawline,Often reacts,Parabens,Dryness or flakiness,High,Medium,Cold,None,Soothing Cleanser
U0491,25-34,Normal,Papules,Severe,Cheeks and jawline,Sometimes reacts,Alcohol,Anti-aging,High,Low,Moderate,None,Retinoid Treatment
U0354,45+,Sensitive,Cyst,Severe,All over face,Rarely reacts,Fragrance,Anti-aging,High,Low,Moderate,Ovulation,Retinoid Treatment
U0262,35-44,Oily,Papules,Moderate,Cheeks and jawline,Rarely reacts,Alcohol,Large pores,High,Medium,Cold,Menstrual,Niacinamide Serum
U0060,45+,Normal,Blackheads,Mild,Jawline and chin,Sometimes reacts,Fragrance,Dark spots/Uneven tone,Medium,Low,Moderate,None,Niacinamide Serum
U1038,25-34,Normal,Cyst,Severe,Jawline and chin,Sometimes reacts,Fragrance,Dark spots/Uneven tone,Medium,Medium,Cold,Menstrual,Retinoid Treatment
U0539,13-17,Oily,Pustules,Mild,All over face,Often reacts,Sulfates,Acne and breakouts,Low,Medium,Hot,None,Soothing Cleanser
U1174,13-17,Combination,Cyst,Mild,T-Zone (forehead/nose),Often reacts,Parabens,Acne and breakouts,Medium,Low,Moderate,None,Retinoid Treatment
U0260,35-44,Oily,Blackheads,Moderate,Jawline and chin,Often reacts,Alcohol,Anti-aging,Medium,Low,Moderate,None,Soothing Cleanser
U0766,18-24,Combination,Cyst,Severe,Jawline and chin,Often reacts,Sulfates,Dryness or flakiness,High,Low,Hot,Menstrual,Retinoid Treatment
U1496,35-44,Normal,Blackheads,Mild,T-Zone (forehead/nose),Rarely reacts,Sulfates,Dark spots/Uneven tone,Low,High,Moderate,Ovulation,Gentle Hydrating Cleanser
U1099,35-44,Normal,Whiteheads,Mild,All over face,Sometimes reacts,None,Dark spots/Uneven tone,Medium,High,Hot,None,Gentle Hydrating Cleanser
U1188,18-24,Normal,Whiteheads,Moderate,All over face,Rarely reacts,Alcohol,Large pores,Low,Medium,Cold,None,Gentle Hydrating Cleanser
U0463,13-17,Oily,Papules,Mild,Cheeks and jawline,Often reacts,Fragrance,Oily/Shiny skin,Low,Medium,Cold,Luteal,Soothing Cleanser
U0052,13-17,Combination,Papules,Mild,Jawline and chin,Sometimes reacts,Alcohol,Dark spots/Uneven tone,Medium,Medium,Moderate,Ovulation,Niacinamide Serum
U0472,45+,Dry,Pustules,Moderate,T-Zone (forehead/nose),Often reacts,Parabens,Dryness or flakiness,Low,Low,Moderate,Luteal,Soothing Cleanser
U0345,13-17,Oily,Papules,Moderate,T-Zone (forehead/nose),Rarely reacts,Fragrance,Dark spots/Uneven tone,Medium,Medium,Cold,Menstrual,Niacinamide Serum
U0678,13-17,Dry,Pustules,Severe,All over face,Often reacts,Alcohol,Anti-aging,High,Medium,Hot,Menstrual,Retinoid Treatment
U0304,13-17,Dry,Papules,Severe,All over face,Sometimes reacts,Alcohol,Anti-aging,Low,High,Hot,Menstrual,Retinoid Treatment
U0869,13-17,Combination,Pustules,Mild,All over face,Sometimes reacts,Sulfates,Dryness or flakiness,Low,Low,Hot,Luteal,Niacinamide Serum
U0024,18-24,Oily,Blackheads,Severe,T-Zone (forehead/nose),Rarely reacts,Alcohol,Dark spots/Uneven tone,Low,High,Cold,Menstrual,Retinoid Treatment
U0590,13-17,Oily,Pustules,Moderate,Jawline and chin,Rarely reacts,Sulfates,Large pores,Low,Medium,Moderate,Ovulation,Niacinamide Serum
U1409,35-44,Sensitive,Pustules,Severe,Jawline and chin,Sometimes reacts,Alcohol,Dark spots/Uneven tone,Low,Medium,Cold,Follicular,Retinoid Treatment
U0462,18-24,Normal,Blackheads,Severe,Jawline and chin,Rarely reacts,Alcohol,Large pores,Medium,Medium,Moderate,None,Retinoid Treatment
U0859,25-34,Oily,Pustules,Mild,T-Zone (forehead/nose),Sometimes reacts,Alcohol,Dark spots/Uneven tone,Low,Low,Cold,None,Salicylic Acid Cleanser
U0765,18-24,Dry,Papules,Mild,T-Zone (forehead/nose),Often reacts,Sulfates,Acne and breakouts,Low,High,Cold,None,Soothing Cleanser
U0760,13-17,Combination,Whiteheads,Moderate,Cheeks and jawline,Rarely reacts,Parabens,Anti-aging,High,Medium,Hot,Follicular,Oil Control Moisturizer
U0169,18-24,Dry,Blackheads,Mild,All over face,Rarely reacts,Sulfates,Oily/Shiny skin,Low,Medium,Hot,None,Niacinamide Serum
U1479,18-24,Combination,Cyst,Moderate,T-Zone (forehead/nose),Sometimes reacts,Sulfates,Dark spots/Uneven tone,Low,High,Moderate,Luteal,Retinoid Treatment
U0561,18-24,Sensitive,Whiteheads,Mild,T-Zone (forehead/nose),Sometimes reacts,Alcohol,Large pores,Medium,Low,Hot,None,Soothing Cleanser
U0568,35-44,Sensitive,Blackheads,Moderate,T-Zone (forehead/nose),Rarely reacts,Sulfates,Dark spots/Uneven tone,High,Medium,Cold,Luteal,Soothing Cleanser
U1478,25-34,Normal,Pustules,Moderate,Cheeks and jawline,Rarely reacts,None,Anti-aging,High,High,Hot,Luteal,Niacinamide Serum
U0238,45+,Oily,Pustules,Moderate,Jawline and chin,Sometimes reacts,Parabens,Acne and breakouts,Low,Low,Moderate,None,Niacinamide Serum
U0908,13-17,Oily,Pustules,Severe,Jawline and chin,Rarely reacts,Sulfates,Oily/Shiny skin,Low,Medium,Cold,Ovulation,Retinoid Treatment
U1117,18-24,Combination,Blackheads,Mild,Cheeks and jawline,Often reacts,Sulfates,Dryness or flakiness,High,Medium,Moderate,None,Soothing Cleanser
U0421,35-44,Normal,Blackheads,Severe,T-Zone (forehead/nose),Sometimes reacts,Alcohol,Dark spots/Uneven tone,High,Low,Hot,Ovulation,Retinoid Treatment
U1329,35-44,Combination,Pustules,Severe,T-Zone (forehead/nose),Sometimes reacts,Parabens,Large pores,Low,High,Moderate,Follicular,Retinoid Treatment
U0100,35-44,Sensitive,Blackheads,Mild,All over face,Rarely reacts,None,Dark spots/Uneven tone,High,High,Hot,Luteal,Soothing Cleanser
U1124,18-24,Normal,Cyst,Mild,T-Zone (forehead/nose),Sometimes reacts,Parabens,Dryness or flakiness,High,Medium,Hot,None,Retinoid Treatment
U0825,13-17,Oily,Blackheads,Severe,Cheeks and jawline,Rarely reacts,Fragrance,Dark spots/Uneven tone,High,High,Moderate,Luteal,Retinoid Treatment
U0416,13-17,Oily,Papules,Mild,Cheeks and jawline,Sometimes reacts,None,Dark spots/Uneven tone,Low,Low,Moderate,Follicular,Salicylic Acid Cleanser
U0068,45+,Combination,Papules,Moderate,T-Zone (forehead/nose),Often reacts,Fragrance,Large pores,Medium,High,Hot,Follicular,Soothing Cleanser
U1106,45+,Normal,Pustules,Moderate,Cheeks and jawline,Sometimes reacts,Sulfates,Oily/Shiny skin,High,Low,Cold,Ovulation,Salicylic Acid Cleanser
U0248,18-24,Normal,Papules,Severe,Cheeks and jawline,Sometimes reacts,Sulfates,Oily/Shiny skin,Low,Medium,Moderate,None,Retinoid Treatment
U1177,25-34,Combination,Cyst,Moderate,Cheeks and jawline,Sometimes reacts,Sulfates,Anti-aging,High,High,Moderate,Follicular,Retinoid Treatment
U0789,25-34,Sensitive,Papules,Severe,Cheeks and jawline,Sometimes reacts,Alcohol,Oily/Shiny skin,High,High,Moderate,Follicular,Retinoid Treatment
U1353,45+,Sensitive,Blackheads,Moderate,Jawline and chin,Often reacts,None,Dryness or flakiness,High,Medium,Hot,None,Soothing Cleanser
U0839,13-17,Normal,Papules,Mild,All over face,Sometimes reacts,None,Anti-aging,Low,Medium,Hot,Luteal,Niacinamide Serum
U0555,25-34,Combination,Whiteheads,Mild,All over face,Sometimes reacts,Fragrance,Dryness or flakiness,High,High,Moderate,None,Oil Control Moisturizer
U0810,18-24,Dry,Cyst,Moderate,Jawline and chin,Often reacts,None,Oily/Shiny skin,Medium,Medium,Hot,Follicular,Retinoid Treatment
U0124,13-17,Normal,Pustules,Mild,T-Zone (forehead/nose),Rarely reacts,None,Oily/Shiny skin,Medium,Medium,Hot,None,Gentle Hydrating Cleanser
U1133,35-44,Oily,Blackheads,Moderate,All over face,Rarely reacts,None,Anti-aging,Medium,Low,Cold,None,BHA Exfoliant
U1384,13-17,Oily,Whiteheads,Moderate,Cheeks and jawline,Sometimes reacts,Parabens,Dark spots/Uneven tone,High,High,Moderate,None,BHA Exfoliant
U0423,35-44,Normal,Pustules,Severe,T-Zone (forehead/nose),Sometimes reacts,Fragrance,Dryness or flakiness,Low,Medium,Hot,None,Retinoid Treatment
U1064,35-44,Combination,Papules,Moderate,All over face,Sometimes reacts,Sulfates,Oily/Shiny skin,Low,Low,Hot,Luteal,Niacinamide Serum
U1122,25-34,Combination,Cyst,Severe,Cheeks and jawline,Sometimes reacts,None,Oily/Shiny skin,Low,Medium,Hot,Menstrual,Benzoyl Peroxide Treatment
U1027,45+,Oily,Blackheads,Mild,All over face,Often reacts,Parabens,Large pores,High,High,Cold,None,Soothing Cleanser
U1449,45+,Oily,Papules,Severe,Jawline and chin,Rarely reacts,None,Dryness or flakiness,Low,Medium,Cold,Luteal,Benzoyl Peroxide Treatment
U0985,35-44,Oily,Pustules,Moderate,Cheeks and jawline,Rarely reacts,Sulfates,Dark spots/Uneven tone,Low,Low,Cold,Ovulation,Salicylic Acid Cleanser
U1260,45+,Normal,Pustules,Mild,Jawline and chin,Rarely reacts,Alcohol,Dryness or flakiness,Medium,Low,Moderate,Luteal,Niacinamide Serum
U0240,13-17,Combination,Papules,Mild,Jawline and chin,Often reacts,Fragrance,Anti-aging,Low,Medium,Moderate,Menstrual,Soothing Cleanser
U0368,45+,Dry,Pustules,Moderate,Cheeks and jawline,Often reacts,None,Anti-aging,Medium,High,Moderate,Follicular,Soothing Cleanser
U0482,18-24,Combination,Pustules,Mild,T-Zone (forehead/nose),Sometimes reacts,Fragrance,Dryness or flakiness,Medium,Medium,Cold,Luteal,Niacinamide Serum
U0699,35-44,Oily,Blackheads,Moderate,Jawline and chin,Rarely reacts,Sulfates,Dark spots/Uneven tone,High,Medium,Cold,Ovulation,Niacinamide Serum
U1400,18-24,Combination,Papules,Moderate,Jawline and chin,Sometimes reacts,None,Oily/Shiny skin,Low,Low,Hot,None,Niacinamide Serum
U0718,18-24,Oily,Papules,Moderate,All over face,Rarely reacts,None,Oily/Shiny skin,Medium,Medium,Cold,Luteal,Niacinamide Serum
U0991,45+,Sensitive,Cyst,Severe,T-Zone (forehead/nose),Sometimes reacts,None,Anti-aging,High,Low,Cold,Luteal,Benzoyl Peroxide Treatment
U1324,18-24,Sensitive,Papules,Moderate,Jawline and chin,Rarely reacts,Alcohol,Large pores,Medium,Medium,Cold,Follicular,Soothing Cleanser
U0030,13-17,Combination,Blackheads,Mild,Cheeks and jawline,Rarely reacts,Sulfates,Oily/Shiny skin,High,Medium,Hot,None,BHA Exfoliant
U1030,35-44,Sensitive,Papules,Mild,Cheeks and jawline,Sometimes reacts,Parabens,Large pores,Low,Low,Moderate,Ovulation,Soothing Cleanser
U0343,35-44,Combination,Pustules,Severe,Cheeks and jawline,Often reacts,Parabens,Acne and breakouts,Low,Low,Hot,Follicular,Retinoid Treatment
U0847,13-17,Sensitive,Papules,Mild,Jawline and chin,Sometimes reacts,Parabens,Dryness or flakiness,Low,Low,Cold,None,Soothing Cleanser
U0417,35-44,Sensitive,Blackheads,Mild,All over face,Rarely reacts,None,Acne and breakouts,Low,High,Moderate,Menstrual,Soothing Cleanser
U0066,13-17,Oily,Cyst,Severe,All over face,Rarely reacts,Alcohol,Anti-aging,Medium,Low,Cold,Menstrual,Retinoid Treatment
U0359,35-44,Sensitive,Cyst,Severe,All over face,Often reacts,Parabens,Anti-aging,High,Low,Cold,Menstrual,Retinoid Treatment
U1233,18-24,Normal,Pustules,Moderate,Cheeks and jawline,Often reacts,Sulfates,Acne and breakouts,Medium,Medium,Cold,None,Soothing Cleanser
U1259,35-44,Oily,Blackheads,Severe,All over face,Often reacts,Parabens,Anti-aging,High,High,Cold,None,Retinoid Treatment
U1036,45+,Dry,Blackheads,Mild,All over face,Rarely reacts,None,Oily/Shiny skin,Low,Medium,Hot,Menstrual,Niacinamide Serum
U1175,35-44,Combination,Blackheads,Mild,T-Zone (forehead/nose),Rarely reacts,Parabens,Acne and breakouts,High,Medium,Hot,Follicular,BHA Exfoliant
U0142,13-17,Combination,Whiteheads,Mild,Cheeks and jawline,Often reacts,Fragrance,Dryness or flakiness,Medium,High,Cold,Menstrual,Soothing Cleanser
U0800,35-44,Sensitive,Papules,Moderate,T-Zone (forehead/nose),Sometimes reacts,Alcohol,Acne and breakouts,Medium,Medium,Cold,None,Soothing Cleanser
U0951,18-24,Sensitive,Pustules,Severe,T-Zone (forehead/nose),Sometimes reacts,Sulfates,Large pores,Low,Medium,Cold,Luteal,Retinoid Treatment
U0515,25-34,Oily,Blackheads,Moderate,All over face,Sometimes reacts,None,Large pores,Medium,Low,Cold,None,Niacinamide Serum
U0725,25-34,Normal,Blackheads,Mild,Jawline and chin,Sometimes reacts,None,Dark spots/Uneven tone,High,High,Cold,Ovulation,Niacinamide Serum
U0276,45+,Oily,Pustules,Mild,Jawline and chin,Sometimes reacts,None,Dryness or flakiness,Low,Medium,Hot,Menstrual,Niacinamide Serum
U1275,25-34,Sensitive,Papules,Mild,T-Zone (forehead/nose),Sometimes reacts,Fragrance,Oily/Shiny skin,High,High,Moderate,Luteal,Soothing Cleanser
U1108,13-17,Combination,Blackheads,Mild,All over face,Rarely reacts,Fragrance,Large pores,Low,High,Moderate,Ovulation,BHA Exfoliant
U0514,18-24,Normal,Blackheads,Mild,Jawline and chin,Sometimes reacts,Fragrance,Dryness or flakiness,Medium,High,Hot,None,Niacinamide Serum
U0627,45+,Sensitive,Whiteheads,Mild,T-Zone (forehead/nose),Rarely reacts,None,Oily/Shiny skin,Medium,High,Cold,Follicular,Soothing Cleanser
U1139,25-34,Oily,Cyst,Severe,Jawline and chin,Sometimes reacts,Alcohol,Acne and breakouts,High,Low,Cold,Luteal,Retinoid Treatment
U1044,35-44,Sensitive,Papules,Severe,T-Zone (forehead/nose),Sometimes reacts,Fragrance,Dark spots/Uneven tone,Low,Medium,Moderate,None,Retinoid Treatment
U0926,25-34,Combination,Whiteheads,Mild,T-Zone (forehead/nose),Rarely reacts,Parabens,Acne and breakouts,High,High,Moderate,None,Oil Control Moisturizer
U1007,13-17,Sensitive,Pustules,Moderate,Cheeks and jawline,Often reacts,Fragrance,Acne and breakouts,Low,High,Cold,Follicular,Soothing Cleanser
U0045,18-24,Sensitive,Papules,Severe,All over face,Sometimes reacts,None,Anti-aging,High,Medium,Hot,Menstrual,Benzoyl Peroxide Treatment
U1277,18-24,Oily,Blackheads,Moderate,Cheeks and jawline,Often reacts,None,Acne and breakouts,High,Low,Moderate,Follicular,Soothing Cleanser
U0271,35-44,Sensitive,Papules,Moderate,Jawline and chin,Sometimes reacts,None,Large pores,High,Low,Moderate,Luteal,Soothing Cleanser
U0406,35-44,Normal,Whiteheads,Moderate,Cheeks and jawline,Rarely reacts,Alcohol,Large pores,High,High,Moderate,Follicular,Gentle Hydrating Cleanser
U1090,45+,Dry,Papules,Moderate,T-Zone (forehead/nose),Sometimes reacts,Sulfates,Dark spots/Uneven tone,Medium,High,Moderate,Luteal,Niacinamide Serum
U0116,35-44,Oily,Cyst,Moderate,Cheeks and jawline,Rarely reacts,Fragrance,Acne and breakouts,High,High,Cold,Menstrual,Retinoid Treatment
U1058,35-44,Oily,Papules,Moderate,Cheeks and jawline,Often reacts,Parabens,Dryness or flakiness,High,High,Moderate,None,Soothing Cleanser
U1001,35-44,Normal,Blackheads,Mild,Cheeks and jawline,Sometimes reacts,Parabens,Acne and breakouts,Low,High,Moderate,Follicular,Gentle Hydrating Cleanser
U0793,18-24,Sensitive,Pustules,Moderate,T-Zone (forehead/nose),Often reacts,Sulfates,Acne and breakouts,High,Low,Moderate,Luteal,Soothing Cleanser
U0528,35-44,Normal,Pustules,Moderate,All over face,Sometimes reacts,Sulfates,Oily/Shiny skin,High,High,Hot,Luteal,Niacinamide Serum
U0433,35-44,Oily,Blackheads,Moderate,Cheeks and jawline,Sometimes reacts,Parabens,Oily/Shiny skin,High,High,Hot,Luteal,Niacinamide Serum
U0894,13-17,Oily,Blackheads,Moderate,All over face,Often reacts,Sulfates,Oily/Shiny skin,Medium,Low,Hot,Follicular,Soothing Cleanser
U1197,45+,Dry,Whiteheads,Moderate,T-Zone (forehead/nose),Often reacts,Alcohol,Dryness or flakiness,Low,Low,Cold,Luteal,Soothing Cleanser
U0079,18-24,Combination,Pustules,Moderate,Cheeks and jawline,Sometimes reacts,Parabens,Anti-aging,Medium,Low,Cold,None,Retinoid Treatment
U1234,25-34,Combination,Pustules,Severe,Cheeks and jawline,Sometimes reacts,Parabens,Acne and breakouts,Medium,Medium,Hot,None,Retinoid Treatment
U1264,45+,Normal,Pustules,Moderate,Cheeks and jawline,Rarely reacts,Sulfates,Anti-aging,High,Low,Cold,Ovulation,Retinoid Treatment
U0937,35-44,Normal,Cyst,Moderate,Cheeks and jawline,Rarely reacts,Sulfates,Oily/Shiny skin,Low,Low,Moderate,None,Retinoid Treatment
U1081,18-24,Combination,Blackheads,Mild,Cheeks and jawline,Sometimes reacts,Sulfates,Dark spots/Uneven tone,Low,High,Hot,Luteal,Niacinamide Serum
U0630,35-44,Dry,Cyst,Severe,Jawline and chin,Sometimes reacts,Parabens,Oily/Shiny skin,Low,Medium,Hot,Luteal,Retinoid Treatment
U1043,25-34,Combination,Cyst,Moderate,All over face,Rarely reacts,None,Acne and breakouts,Low,Medium,Hot,Luteal,Benzoyl Peroxide Treatment
U0016,35-44,Normal,Cyst,Severe,Jawline and chin,Often reacts,None,Oily/Shiny skin,Low,Medium,Cold,Luteal,Retinoid Treatment
U1118,45+,Sensitive,Blackheads,Mild,Cheeks and jawline,Often reacts,None,Dark spots/Uneven tone,Low,High,Hot,Follicular,Soothing Cleanser
U1028,13-17,Oily,Pustules,Moderate,T-Zone (forehead/nose),Sometimes reacts,None,Oily/Shiny skin,High,Medium,Moderate,Menstrual,Niacinamide Serum
U0176,45+,Combination,Cyst,Severe,Jawline and chin,Often reacts,Sulfates,Dryness or flakiness,High,Low,Moderate,Luteal,Retinoid Treatment
U0987,18-24,Combination,Blackheads,Mild,Jawline and chin,Often reacts,Fragrance,Anti-aging,Medium,Medium,Moderate,Menstrual,Soothing Cleanser
U1312,35-44,Sensitive,Papules,Mild,Cheeks and jawline,Sometimes reacts,Sulfates,Oily/Shiny skin,Low,Medium,Moderate,Menstrual,Soothing Cleanser
U0866,35-44,Normal,Papules,Severe,T-Zone (forehead/nose),Sometimes reacts,None,Large pores,Low,High,Cold,Menstrual,Retinoid Treatment
U0507,18-24,Oily,Pustules,Mild,Cheeks and jawline,Often reacts,Fragrance,Anti-aging,Medium,Low,Cold,Luteal,Soothing Cleanser
U0941,35-44,Dry,Cyst,Severe,Jawline and chin,Rarely reacts,None,Acne and breakouts,Low,Low,Hot,Menstrual,Benzoyl Peroxide Treatment
U0366,13-17,Sensitive,Papules,Mild,All over face,Rarely reacts,Parabens,Dark spots/Uneven tone,High,High,Cold,None,Soothing Cleanser
U0549,13-17,Combination,Blackheads,Mild,All over face,Often reacts,None,Dryness or flakiness,Medium,Medium,Cold,Menstrual,Soothing Cleanser
U0204,13-17,Sensitive,Papules,Severe,Jawline and chin,Often reacts,None,Oily/Shiny skin,Low,Low,Hot,Follicular,Retinoid Treatment
U0781,45+,Combination,Blackheads,Mild,All over face,Rarely reacts,Fragrance,Large pores,Low,Low,Cold,None,BHA Exfoliant
U1221,45+,Sensitive,Whiteheads,Severe,Jawline and chin,Sometimes reacts,Sulfates,Oily/Shiny skin,High,Medium,Cold,Follicular,Retinoid Treatment
U1297,13-17,Normal,Blackheads,Moderate,T-Zone (forehead/nose),Sometimes reacts,Parabens,Oily/Shiny skin,Medium,Medium,Moderate,None,Gentle Hydrating Cleanser
U1262,25-34,Oily,Papules,Moderate,T-Zone (forehead/nose),Often reacts,None,Dryness or flakiness,High,High,Hot,Follicular,Soothing Cleanser
U0809,18-24,Oily,Blackheads,Severe,Cheeks and jawline,Rarely reacts,None,Oily/Shiny skin,Low,High,Cold,None,Benzoyl Peroxide Treatment
U0911,13-17,Dry,Papules,Moderate,All over face,Often reacts,Alcohol,Acne and breakouts,Medium,High,Moderate,Luteal,Soothing Cleanser
U1388,45+,Normal,Blackheads,Mild,All over face,Rarely reacts,Sulfates,Oily/Shiny skin,Low,Low,Hot,Follicular,Gentle Hydrating Cleanser
U0185,45+,Dry,Papules,Mild,Cheeks and jawline,Often reacts,Fragrance,Dark spots/Uneven tone,Medium,High,Moderate,Luteal,Soothing Cleanser
U1465,35-44,Normal,Blackheads,Mild,Jawline and chin,Rarely reacts,Sulfates,Dryness or flakiness,Low,High,Cold,Follicular,Niacinamide Serum
