Age_Group,Skin_Type,Skin_Subtype,Sensitivity,Concern,Internal_Type,Ingredients,Concentrations,Effects,Treatment_Profile
14-18,Normal,Normal to Dry,Yes,Redness,General,Chamomile Extract + Aloe Vera + Niacinamide,5% + 1% + 1%,"Calms redness and irritation, Soothes and hydrates irritated skin, Reduces inflammation and regulates sebum","Chamomile Extract(5%) + Aloe Vera(1%) + Niacinamide(1%) -> Calms redness and irritation, Soothes and hydrates irritated skin, Reduces inflammation and regulates sebum"
14-18,Normal,Normal to Dry,Yes,Sun Tan,General,Vitamin C + Alpha Arbutin + Aloe Vera,10% + 2% + 1%,"Brightens skin and reduces pigmentation, Reduces hyperpigmentation and dark spots, Soothes and hydrates irritated skin","Vitamin C(10%) + Alpha Arbutin(2%) + Aloe Vera(1%) -> Brightens skin and reduces pigmentation, Reduces hyperpigmentation and dark spots, Soothes and hydrates irritated skin"
14-18,Normal,Normal to Dry,Yes,Whiteheads / Blackheads,General,Glycolic Acid + Zinc PCA + Niacinamide,5% + 1% + 1%,"Exfoliates dead skin cells and smooths skin, Controls sebum production, Reduces inflammation and regulates sebum","Glycolic Acid(5%) + Zinc PCA(1%) + Niacinamide(1%) -> Exfoliates dead skin cells and smooths skin, Controls sebum production, Reduces inflammation and regulates sebum"
14-18,Normal,Normal to Dry,Yes,Wrinkles,General,Niacinamide + Hyaluronic Acid,5% + 1%,"Reduces inflammation and regulates sebum, Hydrates and plumps the skin, Improves skin elasticity and firmness","Niacinamide(5%) + Hyaluronic Acid(1%) -> Reduces inflammation and regulates sebum, Hydrates and plumps the skin, Improves skin elasticity and firmness"
14-18,Normal,Normal to Dry,No,Acne,Comedonal,Green Tea Extract + Salicylic Acid + Niacinamide,3% + 2% + 5%,"Provides antioxidant and anti-inflammatory benefits, Unclogs pores and removes excess oil, Reduces inflammation and regulates sebum","Green Tea Extract(3%) + Salicylic Acid(2%) + Niacinamide(5%) -> Provides antioxidant and anti-inflammatory benefits, Unclogs pores and removes excess oil, Reduces inflammation and regulates sebum"
14-18,Normal,Normal to Dry,No,Acne,Inflammatory,Salicylic Acid + Benzoyl Peroxide + Zinc PCA,2% + 2.5% + 1%,"Unclogs pores and removes excess oil, Kills acne-causing bacteria, Controls sebum production","Salicylic Acid(2%) + Benzoyl Peroxide(2.5%) + Zinc PCA(1%) -> Unclogs pores and removes excess oil, Kills acne-causing bacteria, Controls sebum production"
14-18,Normal,Normal to Dry,No,Acne,Fungal,Azelaic Acid + Green Tea Extract + Benzoyl Peroxide,10% + 3% + 2.5%,"Reduces acne and improves skin texture, Provides antioxidant and anti-inflammatory benefits, Kills acne-causing bacteria","Azelaic Acid(10%) + Green Tea Extract(3%) + Benzoyl Peroxide(2.5%) -> Reduces acne and improves skin texture, Provides antioxidant and anti-inflammatory benefits, Kills acne-causing bacteria"
14-18,Normal,Normal to Dry,No,Acne,Cystic,Green Tea Extract + Zinc PCA + Azelaic Acid,3% + 10% + 1%,"Provides antioxidant and anti-inflammatory benefits, Controls sebum production, Reduces acne and improves skin texture","Green Tea Extract(3%) + Zinc PCA(10%) + Azelaic Acid(1%) -> Provides antioxidant and anti-inflammatory benefits, Controls sebum production, Reduces acne and improves skin texture"
14-18,Normal,Normal to Dry,No,Dark Circles,Pigmented,Vitamin C + Caffeine + Niacinamide,10% + 3% + 5%,"Brightens skin and reduces pigmentation, Improves blood circulation under eyes, Reduces inflammation and regulates sebum","Vitamin C(10%) + Caffeine(3%) + Niacinamide(5%) -> Brightens skin and reduces pigmentation, Improves blood circulation under eyes, Reduces inflammation and regulates sebum"
14-18,Normal,Normal to Dry,No,Dark Circles,Vascular,Licorice Extract + Caffeine + Vitamin C,2% + 3% + 10%,"Lightens dark spots and evens skin tone, Improves blood circulation under eyes, Brightens skin and reduces pigmentation","Licorice Extract(2%) + Caffeine(3%) + Vitamin C(10%) -> Lightens dark spots and evens skin tone, Improves blood circulation under eyes, Brightens skin and reduces pigmentation"
14-18,Normal,Normal to Dry,No,Dark Spots,General,Licorice Extract + Vitamin C + Kojic Acid,2% + 10% + 1%,"Lightens dark spots and evens skin tone, Brightens skin and reduces pigmentation, Lightens pigmentation and skin discoloration","Licorice Extract(2%) + Vitamin C(10%) + Kojic Acid(1%) -> Lightens dark spots and evens skin tone, Brightens skin and reduces pigmentation, Lightens pigmentation and skin discoloration"
14-18,Normal,Normal to Dry,No,Dullness,General,Lactic Acid + Green Tea Extract + Hyaluronic Acid,3% + 1% + 1%,"Gently exfoliates and improves skin radiance, Provides antioxidant and anti-inflammatory benefits, Hydrates and plumps the skin","Lactic Acid(3%) + Green Tea Extract(1%) + Hyaluronic Acid(1%) -> Gently exfoliates and improves skin radiance, Provides antioxidant and anti-inflammatory benefits, Hydrates and plumps the skin"
14-18,Normal,Normal to Dry,No,Hyperpigmentation,General,Alpha Arbutin + Tranexamic Acid + Licorice Extract,2% + 2% + 2%,"Reduces hyperpigmentation and dark spots, Reduces melanin production and pigmentation, Lightens dark spots and evens skin tone","Alpha Arbutin(2%) + Tranexamic Acid(2%) + Licorice Extract(2%) -> Reduces hyperpigmentation and dark spots, Reduces melanin production and pigmentation, Lightens dark spots and evens skin tone"
14-18,Normal,Normal to Dry,No,Open Pores,General,Niacinamide + Azelaic Acid + Clay,5% + 10% + 1%,"Reduces inflammation and regulates sebum, Reduces acne and improves skin texture, Absorbs excess oil and tightens pores","Niacinamide(5%) + Azelaic Acid(10%) + Clay(1%) -> Reduces inflammation and regulates sebum, Reduces acne and improves skin texture, Absorbs excess oil and tightens pores"
14-18,Normal,Normal to Dry,No,Redness,General,Aloe Vera + Centella Asiatica + Chamomile Extract,1% + 1% + 1%,"Soothes and hydrates irritated skin, Soothes irritation and repairs skin barrier, Calms redness and irritation","Aloe Vera(1%) + Centella Asiatica(1%) + Chamomile Extract(1%) -> Soothes and hydrates irritated skin, Soothes irritation and repairs skin barrier, Calms redness and irritation"
14-18,Normal,Normal to Dry,No,Sun Tan,General,Licorice Extract + Aloe Vera + Alpha Arbutin,2% + 2% + 1%,"Lightens dark spots and evens skin tone, Soothes and hydrates irritated skin, Reduces hyperpigmentation and dark spots","Licorice Extract(2%) + Aloe Vera(2%) + Alpha Arbutin(1%) -> Lightens dark spots and evens skin tone, Soothes and hydrates irritated skin, Reduces hyperpigmentation and dark spots"
14-18,Normal,Normal to Dry,No,Whiteheads / Blackheads,General,Salicylic Acid + Willow Bark Extract + Niacinamide,2% + 5% + 1%,"Unclogs pores and removes excess oil, Naturally exfoliates and clears pores, Reduces inflammation and regulates sebum","Salicylic Acid(2%) + Willow Bark Extract(5%) + Niacinamide(1%) -> Unclogs pores and removes excess oil, Naturally exfoliates and clears pores, Reduces inflammation and regulates sebum"
14-18,Normal,Normal to Dry,No,Wrinkles,General,Hyaluronic Acid,1%,"Stimulates collagen production and reduces wrinkles, Improves skin elasticity and firmness, Hydrates and plumps the skin","Hyaluronic Acid(1%) -> Stimulates collagen production and reduces wrinkles, Improves skin elasticity and firmness, Hydrates and plumps the skin"
14-18,Normal,Normal to Oily,Yes,Acne,Comedonal,Niacinamide + Zinc PCA + Benzoyl Peroxide,5% + 2.5% + 1%,"Reduces inflammation and regulates sebum, Controls sebum production, Kills acne-causing bacteria","Niacinamide(5%) + Zinc PCA(2.5%) + Benzoyl Peroxide(1%) -> Reduces inflammation and regulates sebum, Controls sebum production, Kills acne-causing bacteria"
14-18,Normal,Normal to Oily,Yes,Acne,Inflammatory,Salicylic Acid + Zinc PCA + Azelaic Acid,2% + 10% + 1%,"Unclogs pores and removes excess oil, Controls sebum production, Reduces acne and improves skin texture","Salicylic Acid(2%) + Zinc PCA(10%) + Azelaic Acid(1%) -> Unclogs pores and removes excess oil, Controls sebum production, Reduces acne and improves skin texture"
14-18,Normal,Normal to Oily,Yes,Acne,Fungal,Zinc PCA + Green Tea Extract + Salicylic Acid,3% + 2% + 1%,"Controls sebum production, Provides antioxidant and anti-inflammatory benefits, Unclogs pores and removes excess oil","Zinc PCA(3%) + Green Tea Extract(2%) + Salicylic Acid(1%) -> Controls sebum production, Provides antioxidant and anti-inflammatory benefits, Unclogs pores and removes excess oil"
14-18,Normal,Normal to Oily,Yes,Acne,Cystic,Benzoyl Peroxide + Azelaic Acid + Green Tea Extract,2.5% + 10% + 3%,"Kills acne-causing bacteria, Reduces acne and improves skin texture, Provides antioxidant and anti-inflammatory benefits","Benzoyl Peroxide(2.5%) + Azelaic Acid(10%) + Green Tea Extract(3%) -> Kills acne-causing bacteria, Reduces acne and improves skin texture, Provides antioxidant and anti-inflammatory benefits"
14-18,Normal,Normal to Oily,Yes,Dark Circles,Pigmented,Caffeine + Vitamin C + Caffeine,3% + 10% + 3%,"Improves blood circulation under eyes, Brightens skin and reduces pigmentation, Reduces puffiness and improves circulation","Caffeine(3%) + Vitamin C(10%) + Caffeine(3%) -> Improves blood circulation under eyes, Brightens skin and reduces pigmentation, Reduces puffiness and improves circulation"
14-18,Normal,Normal to Oily,Yes,Dark Circles,Vascular,Licorice Extract + Caffeine + Hyaluronic Acid,2% + 3% + 1%,"Lightens dark spots and evens skin tone, Reduces puffiness and improves circulation, Hydrates and plumps the skin","Licorice Extract(2%) + Caffeine(3%) + Hyaluronic Acid(1%) -> Lightens dark spots and evens skin tone, Reduces puffiness and improves circulation, Hydrates and plumps the skin"
14-18,Normal,Normal to Oily,Yes,Dark Spots,General,Licorice Extract + Alpha Arbutin + Kojic Acid,2% + 2% + 1%,"Lightens dark spots and evens skin tone, Reduces hyperpigmentation and dark spots, Lightens pigmentation and skin discoloration","Licorice Extract(2%) + Alpha Arbutin(2%) + Kojic Acid(1%) -> Lightens dark spots and evens skin tone, Reduces hyperpigmentation and dark spots, Lightens pigmentation and skin discoloration"
14-18,Normal,Normal to Oily,Yes,Dullness,General,Green Tea Extract + Vitamin C + Lactic Acid,3% + 10% + 1%,"Provides antioxidant and anti-inflammatory benefits, Brightens skin and reduces pigmentation, Gently exfoliates and improves skin radiance","Green Tea Extract(3%) + Vitamin C(10%) + Lactic Acid(1%) -> Provides antioxidant and anti-inflammatory benefits, Brightens skin and reduces pigmentation, Gently exfoliates and improves skin radiance"
14-18,Normal,Normal to Oily,Yes,Hyperpigmentation,General,Niacinamide + Vitamin C + Alpha Arbutin,5% + 10% + 2%,"Reduces inflammation and regulates sebum, Brightens skin and reduces pigmentation, Reduces hyperpigmentation and dark spots","Niacinamide(5%) + Vitamin C(10%) + Alpha Arbutin(2%) -> Reduces inflammation and regulates sebum, Brightens skin and reduces pigmentation, Reduces hyperpigmentation and dark spots"
14-18,Normal,Normal to Oily,Yes,Open Pores,General,Salicylic Acid + Green Tea Extract + Clay,2% + 3% + 1%,"Unclogs pores and removes excess oil, Provides antioxidant and anti-inflammatory benefits, Absorbs excess oil and tightens pores","Salicylic Acid(2%) + Green Tea Extract(3%) + Clay(1%) -> Unclogs pores and removes excess oil, Provides antioxidant and anti-inflammatory benefits, Absorbs excess oil and tightens pores"
14-18,Normal,Normal to Oily,Yes,Redness,General,Aloe Vera + Centella Asiatica + Chamomile Extract,1% + 1% + 1%,"Soothes and hydrates irritated skin, Soothes irritation and repairs skin barrier, Calms redness and irritation","Aloe Vera(1%) + Centella Asiatica(1%) + Chamomile Extract(1%) -> Soothes and hydrates irritated skin, Soothes irritation and repairs skin barrier, Calms redness and irritation"
14-18,Normal,Normal to Oily,Yes,Sun Tan,General,Aloe Vera + Licorice Extract + Alpha Arbutin,2% + 2% + 1%,"Soothes and hydrates irritated skin, Lightens dark spots and evens skin tone, Reduces hyperpigmentation and dark spots","Aloe Vera(2%) + Licorice Extract(2%) + Alpha Arbutin(1%) -> Soothes and hydrates irritated skin, Lightens dark spots and evens skin tone, Reduces hyperpigmentation and dark spots"
14-18,Normal,Normal to Oily,Yes,Whiteheads / Blackheads,General,Glycolic Acid + Niacinamide + Zinc PCA,5% + 1% + 1%,"Exfoliates dead skin cells and smooths skin, Reduces inflammation and regulates sebum, Controls sebum production","Glycolic Acid(5%) + Niacinamide(1%) + Zinc PCA(1%) -> Exfoliates dead skin cells and smooths skin, Reduces inflammation and regulates sebum, Controls sebum production"
14-18,Normal,Normal to Oily,Yes,Wrinkles,General,Niacinamide,5%,"Improves skin elasticity and firmness, Reduces inflammation and regulates sebum, Stimulates collagen production and reduces wrinkles","Niacinamide(5%) -> Improves skin elasticity and firmness, Reduces inflammation and regulates sebum, Stimulates collagen production and reduces wrinkles"
14-18,Normal,Normal to Oily,No,Acne,Comedonal,Niacinamide + Salicylic Acid + Benzoyl Peroxide,5% + 2% + 2.5%,"Reduces inflammation and regulates sebum, Unclogs pores and removes excess oil, Kills acne-causing bacteria","Niacinamide(5%) + Salicylic Acid(2%) + Benzoyl Peroxide(2.5%) -> Reduces inflammation and regulates sebum, Unclogs pores and removes excess oil, Kills acne-causing bacteria"
14-18,Normal,Normal to Oily,No,Acne,Inflammatory,Salicylic Acid + Niacinamide + Benzoyl Peroxide,2% + 5% + 2.5%,"Unclogs pores and removes excess oil, Reduces inflammation and regulates sebum, Kills acne-causing bacteria","Salicylic Acid(2%) + Niacinamide(5%) + Benzoyl Peroxide(2.5%) -> Unclogs pores and removes excess oil, Reduces inflammation and regulates sebum, Kills acne-causing bacteria"
14-18,Normal,Normal to Oily,No,Acne,Fungal,Benzoyl Peroxide + Niacinamide + Zinc PCA,2.5% + 5% + 1%,"Kills acne-causing bacteria, Reduces inflammation and regulates sebum, Controls sebum production","Benzoyl Peroxide(2.5%) + Niacinamide(5%) + Zinc PCA(1%) -> Kills acne-causing bacteria, Reduces inflammation and regulates sebum, Controls sebum production"
14-18,Normal,Normal to Oily,No,Acne,Cystic,Zinc PCA + Niacinamide + Benzoyl Peroxide,5% + 2.5% + 1%,"Controls sebum production, Reduces inflammation and regulates sebum, Kills acne-causing bacteria","Zinc PCA(5%) + Niacinamide(2.5%) + Benzoyl Peroxide(1%) -> Controls sebum production, Reduces inflammation and regulates sebum, Kills acne-causing bacteria"
14-18,Normal,Normal to Oily,No,Dark Circles,Pigmented,Hyaluronic Acid + Niacinamide + Licorice Extract,1% + 5% + 2%,"Hydrates and plumps the skin, Reduces inflammation and regulates sebum, Lightens dark spots and evens skin tone","Hyaluronic Acid(1%) + Niacinamide(5%) + Licorice Extract(2%) -> Hydrates and plumps the skin, Reduces inflammation and regulates sebum, Lightens dark spots and evens skin tone"
14-18,Normal,Normal to Oily,No,Dark Circles,Vascular,Caffeine + Hyaluronic Acid + Licorice Extract,3% + 1% + 2%,"Reduces puffiness and improves circulation, Hydrates and plumps the skin, Lightens dark spots and evens skin tone","Caffeine(3%) + Hyaluronic Acid(1%) + Licorice Extract(2%) -> Reduces puffiness and improves circulation, Hydrates and plumps the skin, Lightens dark spots and evens skin tone"
14-18,Normal,Normal to Oily,No,Dark Spots,General,Kojic Acid + Vitamin C + Alpha Arbutin,1% + 10% + 2%,"Lightens pigmentation and skin discoloration, Brightens skin and reduces pigmentation, Reduces hyperpigmentation and dark spots","Kojic Acid(1%) + Vitamin C(10%) + Alpha Arbutin(2%) -> Lightens pigmentation and skin discoloration, Brightens skin and reduces pigmentation, Reduces hyperpigmentation and dark spots"
14-18,Normal,Normal to Oily,No,Dullness,General,Hyaluronic Acid + Vitamin C + Lactic Acid,1% + 10% + 1%,"Hydrates and plumps the skin, Brightens skin and reduces pigmentation, Gently exfoliates and improves skin radiance","Hyaluronic Acid(1%) + Vitamin C(10%) + Lactic Acid(1%) -> Hydrates and plumps the skin, Brightens skin and reduces pigmentation, Gently exfoliates and improves skin radiance"
14-18,Normal,Normal to Oily,No,Hyperpigmentation,General,Licorice Extract + Tranexamic Acid + Vitamin C,2% + 2% + 10%,"Lightens dark spots and evens skin tone, Reduces melanin production and pigmentation, Brightens skin and reduces pigmentation","Licorice Extract(2%) + Tranexamic Acid(2%) + Vitamin C(10%) -> Lightens dark spots and evens skin tone, Reduces melanin production and pigmentation, Brightens skin and reduces pigmentation"
14-18,Normal,Normal to Oily,No,Open Pores,General,Salicylic Acid + Green Tea Extract + Niacinamide,2% + 3% + 5%,"Unclogs pores and removes excess oil, Provides antioxidant and anti-inflammatory benefits, Reduces inflammation and regulates sebum","Salicylic Acid(2%) + Green Tea Extract(3%) + Niacinamide(5%) -> Unclogs pores and removes excess oil, Provides antioxidant and anti-inflammatory benefits, Reduces inflammation and regulates sebum"
14-18,Normal,Normal to Oily,No,Redness,General,Green Tea Extract + Chamomile Extract + Niacinamide,3% + 5% + 1%,"Provides antioxidant and anti-inflammatory benefits, Calms redness and irritation, Reduces inflammation and regulates sebum","Green Tea Extract(3%) + Chamomile Extract(5%) + Niacinamide(1%) -> Provides antioxidant and anti-inflammatory benefits, Calms redness and irritation, Reduces inflammation and regulates sebum"
14-18,Normal,Normal to Oily,No,Sun Tan,General,Licorice Extract + Aloe Vera + Alpha Arbutin,2% + 2% + 1%,"Lightens dark spots and evens skin tone, Soothes and hydrates irritated skin, Reduces hyperpigmentation and dark spots","Licorice Extract(2%) + Aloe Vera(2%) + Alpha Arbutin(1%) -> Lightens dark spots and evens skin tone, Soothes and hydrates irritated skin, Reduces hyperpigmentation and dark spots"
14-18,Normal,Normal to Oily,No,Whiteheads / Blackheads,General,Niacinamide + Glycolic Acid + Willow Bark Extract,5% + 1% + 1%,"Reduces inflammation and regulates sebum, Exfoliates dead skin cells and smooths skin, Naturally exfoliates and clears pores","Niacinamide(5%) + Glycolic Acid(1%) + Willow Bark Extract(1%) -> Reduces inflammation and regulates sebum, Exfoliates dead skin cells and smooths skin, Naturally exfoliates and clears pores"
14-18,Normal,Normal to Oily,No,Wrinkles,General,Niacinamide + Hyaluronic Acid + Coenzyme Q10,5% + 1% + 1%,"Reduces inflammation and regulates sebum, Hydrates and plumps the skin, Provides antioxidant protection and supports skin repair","Niacinamide(5%) + Hyaluronic Acid(1%) + Coenzyme Q10(1%) -> Reduces inflammation and regulates sebum, Hydrates and plumps the skin, Provides antioxidant protection and supports skin repair"
14-18,Dry,Dry to Normal,Yes,Acne,Comedonal,Azelaic Acid + Green Tea Extract + Niacinamide,10% + 3% + 5%,"Reduces acne and improves skin texture, Provides antioxidant and anti-inflammatory benefits, Reduces inflammation and regulates sebum","Azelaic Acid(10%) + Green Tea Extract(3%) + Niacinamide(5%) -> Reduces acne and improves skin texture, Provides antioxidant and anti-inflammatory benefits, Reduces inflammation and regulates sebum"
14-18,Dry,Dry to Normal,Yes,Acne,Inflammatory,Salicylic Acid + Azelaic Acid + Green Tea Extract,2% + 10% + 3%,"Unclogs pores and removes excess oil, Reduces acne and improves skin texture, Provides antioxidant and anti-inflammatory benefits","Salicylic Acid(2%) + Azelaic Acid(10%) + Green Tea Extract(3%) -> Unclogs pores and removes excess oil, Reduces acne and improves skin texture, Provides antioxidant and anti-inflammatory benefits"
14-18,Dry,Dry to Normal,Yes,Acne,Fungal,Zinc PCA + Niacinamide + Green Tea Extract,5% + 3% + 1%,"Controls sebum production, Reduces inflammation and regulates sebum, Provides antioxidant and anti-inflammatory benefits","Zinc PCA(5%) + Niacinamide(3%) + Green Tea Extract(1%) -> Controls sebum production, Reduces inflammation and regulates sebum, Provides antioxidant and anti-inflammatory benefits"
14-18,Dry,Dry to Normal,Yes,Acne,Cystic,Zinc PCA + Green Tea Extract + Salicylic Acid,3% + 2% + 1%,"Controls sebum production, Provides antioxidant and anti-inflammatory benefits, Unclogs pores and removes excess oil","Zinc PCA(3%) + Green Tea Extract(2%) + Salicylic Acid(1%) -> Controls sebum production, Provides antioxidant and anti-inflammatory benefits, Unclogs pores and removes excess oil"
14-18,Dry,Dry to Normal,Yes,Dark Circles,Pigmented,Niacinamide + Caffeine + Hyaluronic Acid,5% + 3% + 1%,"Reduces inflammation and regulates sebum, Reduces puffiness and improves circulation, Hydrates and plumps the skin","Niacinamide(5%) + Caffeine(3%) + Hyaluronic Acid(1%) -> Reduces inflammation and regulates sebum, Reduces puffiness and improves circulation, Hydrates and plumps the skin"
14-18,Dry,Dry to Normal,Yes,Dark Circles,Vascular,Caffeine + Niacinamide + Hyaluronic Acid,3% + 5% + 1%,"Reduces puffiness and improves circulation, Reduces inflammation and regulates sebum, Hydrates and plumps the skin","Caffeine(3%) + Niacinamide(5%) + Hyaluronic Acid(1%) -> Reduces puffiness and improves circulation, Reduces inflammation and regulates sebum, Hydrates and plumps the skin"
14-18,Dry,Dry to Normal,Yes,Dark Spots,General,Alpha Arbutin + Vitamin C + Niacinamide,2% + 10% + 5%,"Reduces hyperpigmentation and dark spots, Brightens skin and reduces pigmentation, Reduces inflammation and regulates sebum","Alpha Arbutin(2%) + Vitamin C(10%) + Niacinamide(5%) -> Reduces hyperpigmentation and dark spots, Brightens skin and reduces pigmentation, Reduces inflammation and regulates sebum"
14-18,Dry,Dry to Normal,Yes,Dullness,General,Lactic Acid + Vitamin C + Hyaluronic Acid,10% + 1% + 1%,"Gently exfoliates and improves skin radiance, Brightens skin and reduces pigmentation, Hydrates and plumps the skin","Lactic Acid(10%) + Vitamin C(1%) + Hyaluronic Acid(1%) -> Gently exfoliates and improves skin radiance, Brightens skin and reduces pigmentation, Hydrates and plumps the skin"
14-18,Dry,Dry to Normal,Yes,Hyperpigmentation,General,Licorice Extract + Alpha Arbutin + Niacinamide,2% + 2% + 5%,"Lightens dark spots and evens skin tone, Reduces hyperpigmentation and dark spots, Reduces inflammation and regulates sebum","Licorice Extract(2%) + Alpha Arbutin(2%) + Niacinamide(5%) -> Lightens dark spots and evens skin tone, Reduces hyperpigmentation and dark spots, Reduces inflammation and regulates sebum"
14-18,Dry,Dry to Normal,Yes,Open Pores,General,Niacinamide + Clay + Green Tea Extract,5% + 3% + 1%,"Reduces inflammation and regulates sebum, Absorbs excess oil and tightens pores, Provides antioxidant and anti-inflammatory benefits","Niacinamide(5%) + Clay(3%) + Green Tea Extract(1%) -> Reduces inflammation and regulates sebum, Absorbs excess oil and tightens pores, Provides antioxidant and anti-inflammatory benefits"
14-18,Dry,Dry to Normal,Yes,Redness,General,Niacinamide + Chamomile Extract + Centella Asiatica,5% + 1% + 1%,"Reduces inflammation and regulates sebum, Calms redness and irritation, Soothes irritation and repairs skin barrier","Niacinamide(5%) + Chamomile Extract(1%) + Centella Asiatica(1%) -> Reduces inflammation and regulates sebum, Calms redness and irritation, Soothes irritation and repairs skin barrier"
14-18,Dry,Dry to Normal,Yes,Sun Tan,General,Niacinamide + Aloe Vera + Vitamin C,5% + 10% + 1%,"Reduces inflammation and regulates sebum, Soothes and hydrates irritated skin, Brightens skin and reduces pigmentation","Niacinamide(5%) + Aloe Vera(10%) + Vitamin C(1%) -> Reduces inflammation and regulates sebum, Soothes and hydrates irritated skin, Brightens skin and reduces pigmentation"
14-18,Dry,Dry to Normal,Yes,Whiteheads / Blackheads,General,Glycolic Acid + Zinc PCA + Niacinamide,5% + 1% + 1%,"Exfoliates dead skin cells and smooths skin, Controls sebum production, Reduces inflammation and regulates sebum","Glycolic Acid(5%) + Zinc PCA(1%) + Niacinamide(1%) -> Exfoliates dead skin cells and smooths skin, Controls sebum production, Reduces inflammation and regulates sebum"
14-18,Dry,Dry to Normal,Yes,Wrinkles,General,Hyaluronic Acid + Coenzyme Q10 + Niacinamide,1% + 5% + 1%,"Hydrates and plumps the skin, Provides antioxidant protection and supports skin repair, Reduces inflammation and regulates sebum","Hyaluronic Acid(1%) + Coenzyme Q10(5%) + Niacinamide(1%) -> Hydrates and plumps the skin, Provides antioxidant protection and supports skin repair, Reduces inflammation and regulates sebum"
