user_id,age_group,skin_type,acne_severity,breakout_location,product_sensitivity,allergen,skin_concern,acne_type,humidity,pollution,temperature,hormonal_phase,recommended_treatment
U0031,18-24,Normal,Moderate,T-Zone (forehead/nose),Sometimes reacts,None,Large pores,Papules,Low,Medium,Cold,Menstrual,Niacinamide Serum
U0050,18-24,Sensitive,Moderate,Cheeks and jawline,Sometimes reacts,Parabens,Dark spots/Uneven tone,Pustules,Low,Medium,Moderate,Luteal,Soothing Cleanser
U0241,25-34,Sensitive,Severe,T-Zone (forehead/nose),Sometimes reacts,Parabens,Dryness or flakiness,Cyst,Low,Medium,Cold,Luteal,Retinoid Treatment
U0310,25-34,Combination,Moderate,All over face,Often reacts,Fragrance,Acne and breakouts,Papules,Medium,High,Hot,Luteal,Soothing Cleanser
U0353,35-44,Dry,Mild,T-Zone (forehead/nose),Often reacts,Fragrance,Oily/Shiny skin,Blackheads,Low,Medium,Hot,None,Soothing Cleanser
U0125,13-17,Dry,Moderate,All over face,Often reacts,Alcohol,Large pores,Whiteheads,Low,High,Cold,Menstrual,Soothing Cleanser
U1158,18-24,Dry,Severe,Jawline and chin,Rarely reacts,Fragrance,Large pores,Cyst,Medium,Low,Cold,Ovulation,Retinoid Treatment
U0651,45+,Dry,Moderate,Jawline and chin,Often reacts,Fragrance,Oily/Shiny skin,Pustules,Low,Low,Cold,,Soothing Cleanser
U0071,45+,Sensitive,Mild,All over face,Often reacts,Alcohol,Dryness or flakiness,Blackheads,High,Medium,Hot,Ovulation,Soothing Cleanser
U1498,18-24,Sensitive,Moderate,T-Zone (forehead/nose),Sometimes reacts,None,Anti-aging,Pustules,Medium,Low,Hot,Menstrual,Soothing Cleanser
U0702,18-24,Normal,Mild,Jawline and chin,Often reacts,Parabens,Dark spots/Uneven tone,Blackheads,Medium,Low,Cold,,Soothing Cleanser
U1103,35-44,Combination,Moderate,All over face,Rarely reacts,Fragrance,Oily/Shiny skin,Blackheads,High,Medium,Moderate,Ovulation,BHA Exfoliant
U1317,35-44,Dry,Mild,Cheeks and jawline,Sometimes reacts,Alcohol,Dryness or flakiness,Whiteheads,High,Medium,Moderate,Ovulation,Gentle Hydrating Cleanser
U1104,45+,Combination,Moderate,T-Zone (forehead/nose),Rarely reacts,Alcohol,Oily/Shiny skin,Pustules,High,Medium,Hot,Follicular,Oil Control Moisturizer
U1314,13-17,Combination,Mild,T-Zone (forehead/nose),Often reacts,Sulfates,Anti-aging,Whiteheads,Medium,High,Moderate,None,Soothing Cleanser
U1482,25-34,Normal,Moderate,Jawline and chin,,Fragrance,Dryness or flakiness,Blackheads,Low,High,Cold,Ovulation,Soothing Cleanser
U0584,35-44,Sensitive,Mild,Cheeks and jawline,Sometimes reacts,Alcohol,Dryness or flakiness,Blackheads,High,Low,Hot,None,Soothing Cleanser
U1217,13-17,Normal,Severe,All over face,Often reacts,Sulfates,Dryness or flakiness,Blackheads,Medium,Medium,Hot,,Retinoid Treatment
U1302,13-17,Oily,Severe,Jawline and chin,Rarely reacts,Alcohol,Oily/Shiny skin,Pustules,Low,High,Cold,Follicular,Retinoid Treatment
U0501,45+,Dry,Mild,Jawline and chin,Sometimes reacts,Sulfates,Dark spots/Uneven tone,Blackheads,Low,Low,Moderate,None,Niacinamide Serum
U1401,18-24,Normal,Mild,T-Zone (forehead/nose),Sometimes reacts,None,Dryness or flakiness,Papules,High,Low,Cold,Menstrual,Niacinamide Serum
U1189,45+,Normal,Severe,All over face,Rarely reacts,Fragrance,Oily/Shiny skin,Cyst,Low,High,Hot,Luteal,Retinoid Treatment
U0486,13-17,Combination,Severe,Jawline and chin,Rarely reacts,None,Acne and breakouts,Cyst,Low,Low,Hot,Luteal,Benzoyl Peroxide Treatment
U0883,25-34,Normal,Mild,T-Zone (forehead/nose),Sometimes reacts,Alcohol,Dryness or flakiness,Papules,Medium,Medium,Moderate,,Gentle Hydrating Cleanser
U0950,45+,Sensitive,Moderate,Cheeks and jawline,Rarely reacts,Parabens,Oily/Shiny skin,Pustules,High,High,Moderate,Follicular,Soothing Cleanser
U0611,45+,Dry,Moderate,Cheeks and jawline,Often reacts,Parabens,Dryness or flakiness,Pustules,High,Medium,Cold,,Soothing Cleanser
U0491,25-34,Normal,Severe,Cheeks and jawline,Sometimes reacts,Alcohol,Anti-aging,Papules,High,Low,Moderate,None,Retinoid Treatment
U0354,45+,Sensitive,Severe,All over face,Rarely reacts,Fragrance,Anti-aging,Cyst,High,Low,Moderate,Ovulation,Retinoid Treatment
U0262,35-44,Oily,Moderate,Cheeks and jawline,Rarely reacts,Alcohol,Large pores,Papules,High,Medium,Cold,Menstrual,Niacinamide Serum
U0060,45+,Normal,Mild,Jawline and chin,Sometimes reacts,Fragrance,Dark spots/Uneven tone,Blackheads,Medium,Low,Moderate,None,Niacinamide Serum
U1038,25-34,Normal,Severe,Jawline and chin,Sometimes reacts,Fragrance,Dark spots/Uneven tone,Cyst,Medium,Medium,Cold,Menstrual,Retinoid Treatment
U0539,13-17,Oily,Mild,All over face,Often reacts,Sulfates,Acne and breakouts,Pustules,Low,Medium,Hot,None,Soothing Cleanser
U1174,13-17,Combination,Mild,T-Zone (forehead/nose),Often reacts,Parabens,Acne and breakouts,Cyst,Medium,Low,Moderate,None,Retinoid Treatment
U0260,35-44,Oily,Moderate,Jawline and chin,Often reacts,Alcohol,Anti-aging,Blackheads,Medium,Low,Moderate,,Soothing Cleanser
U0766,18-24,Combination,Severe,Jawline and chin,Often reacts,Sulfates,Dryness or flakiness,Cyst,High,Low,Hot,Menstrual,Retinoid Treatment
U1496,35-44,Normal,Mild,T-Zone (forehead/nose),Rarely reacts,Sulfates,Dark spots/Uneven tone,Blackheads,Low,High,Moderate,Ovulation,Gentle Hydrating Cleanser
U1099,35-44,Normal,Mild,All over face,Sometimes reacts,None,Dark spots/Uneven tone,Whiteheads,Medium,High,Hot,None,Gentle Hydrating Cleanser
U1188,18-24,Normal,Moderate,All over face,Rarely reacts,Alcohol,Large pores,Whiteheads,Low,Medium,Cold,,Gentle Hydrating Cleanser
U0463,13-17,Oily,Mild,Cheeks and jawline,Often reacts,Fragrance,Oily/Shiny skin,Papules,Low,Medium,Cold,Luteal,Soothing Cleanser
U0052,13-17,Combination,Mild,Jawline and chin,,Alcohol,Dark spots/Uneven tone,Papules,Medium,Medium,Moderate,Ovulation,Niacinamide Serum
U0472,45+,Dry,Moderate,T-Zone (forehead/nose),Often reacts,Parabens,Dryness or flakiness,Pustules,Low,Low,Moderate,Luteal,Soothing Cleanser
U0345,13-17,Oily,Moderate,T-Zone (forehead/nose),Rarely reacts,Fragrance,Dark spots/Uneven tone,Papules,Medium,Medium,Cold,Menstrual,Niacinamide Serum
U0678,13-17,Dry,Severe,All over face,Often reacts,Alcohol,Anti-aging,Pustules,High,Medium,Hot,Menstrual,Retinoid Treatment
U0304,13-17,Dry,Severe,All over face,Sometimes reacts,Alcohol,Anti-aging,Papules,Low,High,Hot,Menstrual,Retinoid Treatment
U0869,13-17,Combination,Mild,All over face,Sometimes reacts,Sulfates,Dryness or flakiness,Pustules,Low,Low,Hot,Luteal,Niacinamide Serum
U0024,18-24,Oily,Severe,T-Zone (forehead/nose),Rarely reacts,Alcohol,Dark spots/Uneven tone,Blackheads,Low,High,Cold,Menstrual,Retinoid Treatment
U0590,13-17,Oily,Moderate,Jawline and chin,Rarely reacts,Sulfates,Large pores,Pustules,Low,Medium,Moderate,Ovulation,Niacinamide Serum
U1409,35-44,Sensitive,Severe,Jawline and chin,Sometimes reacts,Alcohol,Dark spots/Uneven tone,Pustules,Low,Medium,Cold,Follicular,Retinoid Treatment
U0462,18-24,Normal,Severe,Jawline and chin,Rarely reacts,Alcohol,Large pores,Blackheads,Medium,Medium,Moderate,None,Retinoid Treatment
U0859,25-34,Oily,Mild,T-Zone (forehead/nose),Sometimes reacts,Alcohol,Dark spots/Uneven tone,Pustules,Low,Low,Cold,None,Salicylic Acid Cleanser
U0765,18-24,Dry,Mild,T-Zone (forehead/nose),Often reacts,Sulfates,Acne and breakouts,Papules,Low,High,Cold,,Soothing Cleanser
U0760,13-17,Combination,Moderate,Cheeks and jawline,Rarely reacts,Parabens,Anti-aging,Whiteheads,High,Medium,Hot,Follicular,Oil Control Moisturizer
U0169,18-24,Dry,Mild,All over face,Rarely reacts,Sulfates,Oily/Shiny skin,Blackheads,Low,Medium,Hot,,Niacinamide Serum
U1479,18-24,Combination,Moderate,T-Zone (forehead/nose),Sometimes reacts,Sulfates,Dark spots/Uneven tone,Cyst,Low,High,Moderate,Luteal,Retinoid Treatment
U0561,18-24,Sensitive,Mild,T-Zone (forehead/nose),Sometimes reacts,Alcohol,Large pores,Whiteheads,Medium,Low,Hot,None,Soothing Cleanser
U0568,35-44,Sensitive,Moderate,T-Zone (forehead/nose),Rarely reacts,Sulfates,Dark spots/Uneven tone,Blackheads,High,Medium,Cold,Luteal,Soothing Cleanser
U1478,25-34,Normal,Moderate,Cheeks and jawline,Rarely reacts,,Anti-aging,Pustules,High,High,Hot,Luteal,Niacinamide Serum
U0238,45+,Oily,Moderate,Jawline and chin,Sometimes reacts,Parabens,Acne and breakouts,Pustules,Low,Low,Moderate,,Niacinamide Serum
U0908,13-17,Oily,Severe,Jawline and chin,Rarely reacts,Sulfates,Oily/Shiny skin,Pustules,Low,Medium,Cold,Ovulation,Retinoid Treatment
U1117,18-24,Combination,Mild,Cheeks and jawline,Often reacts,Sulfates,Dryness or flakiness,Blackheads,High,Medium,Moderate,,Soothing Cleanser
U0421,35-44,Normal,Severe,T-Zone (forehead/nose),Sometimes reacts,Alcohol,Dark spots/Uneven tone,Blackheads,High,Low,Hot,Ovulation,Retinoid Treatment
U1329,35-44,Combination,Severe,T-Zone (forehead/nose),Sometimes reacts,Parabens,Large pores,Pustules,Low,High,Moderate,Follicular,Retinoid Treatment
U0100,35-44,Sensitive,Mild,All over face,Rarely reacts,None,Dark spots/Uneven tone,Blackheads,High,High,Hot,Luteal,Soothing Cleanser
U1124,18-24,Normal,Mild,T-Zone (forehead/nose),Sometimes reacts,Parabens,Dryness or flakiness,Cyst,High,Medium,Hot,None,Retinoid Treatment
U0825,13-17,Oily,Severe,Cheeks and jawline,Rarely reacts,Fragrance,Dark spots/Uneven tone,Blackheads,High,High,Moderate,Luteal,Retinoid Treatment
U0416,13-17,Oily,Mild,Cheeks and jawline,Sometimes reacts,None,Dark spots/Uneven tone,Papules,Low,Low,Moderate,Follicular,Salicylic Acid Cleanser
U0068,45+,Combination,Moderate,T-Zone (forehead/nose),Often reacts,Fragrance,Large pores,Papules,Medium,High,Hot,Follicular,Soothing Cleanser
U1106,45+,Normal,Moderate,Cheeks and jawline,Sometimes reacts,Sulfates,Oily/Shiny skin,Pustules,High,Low,Cold,Ovulation,Salicylic Acid Cleanser
U0248,18-24,Normal,Severe,Cheeks and jawline,Sometimes reacts,Sulfates,Oily/Shiny skin,Papules,Low,Medium,Moderate,None,Retinoid Treatment
U1177,25-34,Combination,Moderate,Cheeks and jawline,Sometimes reacts,Sulfates,Anti-aging,Cyst,High,High,Moderate,Follicular,Retinoid Treatment
U0789,25-34,Sensitive,Severe,Cheeks and jawline,Sometimes reacts,Alcohol,Oily/Shiny skin,Papules,High,High,Moderate,Follicular,Retinoid Treatment
U1353,45+,Sensitive,Moderate,Jawline and chin,Often reacts,None,Dryness or flakiness,Blackheads,High,Medium,Hot,None,Soothing Cleanser
U0839,13-17,Normal,Mild,All over face,Sometimes reacts,None,Anti-aging,Papules,Low,Medium,Hot,Luteal,Niacinamide Serum
U0555,25-34,Combination,Mild,All over face,Sometimes reacts,Fragrance,Dryness or flakiness,Whiteheads,High,High,Moderate,None,Oil Control Moisturizer
U0810,18-24,Dry,Moderate,Jawline and chin,Often reacts,None,Oily/Shiny skin,Cyst,Medium,Medium,Hot,Follicular,Retinoid Treatment
U0124,13-17,Normal,Mild,T-Zone (forehead/nose),Rarely reacts,None,Oily/Shiny skin,Pustules,Medium,Medium,Hot,None,Gentle Hydrating Cleanser
U1133,35-44,Oily,Moderate,All over face,Rarely reacts,,Anti-aging,Blackheads,Medium,Low,Cold,,BHA Exfoliant
U1384,13-17,Oily,Moderate,Cheeks and jawline,Sometimes reacts,Parabens,Dark spots/Uneven tone,Whiteheads,High,High,Moderate,None,BHA Exfoliant
U0423,35-44,Normal,Severe,T-Zone (forehead/nose),Sometimes reacts,Fragrance,Dryness or flakiness,Pustules,Low,Medium,Hot,,Retinoid Treatment
U1064,35-44,Combination,Moderate,All over face,Sometimes reacts,Sulfates,Oily/Shiny skin,Papules,Low,Low,Hot,Luteal,Niacinamide Serum
U1122,25-34,Combination,Severe,Cheeks and jawline,Sometimes reacts,None,Oily/Shiny skin,Cyst,Low,Medium,Hot,Menstrual,Benzoyl Peroxide Treatment
U1027,45+,Oily,Mild,All over face,Often reacts,Parabens,Large pores,Blackheads,High,High,Cold,None,Soothing Cleanser
U1449,45+,Oily,Severe,Jawline and chin,Rarely reacts,None,Dryness or flakiness,Papules,Low,Medium,Cold,Luteal,Benzoyl Peroxide Treatment
U0985,35-44,Oily,Moderate,Cheeks and jawline,Rarely reacts,Sulfates,Dark spots/Uneven tone,Pustules,Low,Low,Cold,Ovulation,Salicylic Acid Cleanser
U1260,45+,Normal,Mild,Jawline and chin,Rarely reacts,Alcohol,Dryness or flakiness,Pustules,Medium,Low,Moderate,Luteal,Niacinamide Serum
U0240,13-17,Combination,Mild,Jawline and chin,Often reacts,Fragrance,Anti-aging,Papules,Low,Medium,Moderate,Menstrual,Soothing Cleanser
U0368,45+,Dry,Moderate,Cheeks and jawline,Often reacts,None,Anti-aging,Pustules,Medium,High,Moderate,Follicular,Soothing Cleanser
U0482,18-24,Combination,Mild,T-Zone (forehead/nose),Sometimes reacts,Fragrance,Dryness or flakiness,Pustules,Medium,Medium,Cold,Luteal,Niacinamide Serum
U0699,35-44,Oily,Moderate,Jawline and chin,Rarely reacts,Sulfates,Dark spots/Uneven tone,Blackheads,High,Medium,Cold,Ovulation,Niacinamide Serum
U1400,18-24,Combination,Moderate,Jawline and chin,Sometimes reacts,,Oily/Shiny skin,Papules,Low,Low,Hot,None,Niacinamide Serum
U0718,18-24,Oily,Moderate,All over face,Rarely reacts,None,Oily/Shiny skin,Papules,Medium,Medium,Cold,Luteal,Niacinamide Serum
U0991,45+,Sensitive,Severe,T-Zone (forehead/nose),Sometimes reacts,None,Anti-aging,Cyst,High,Low,Cold,Luteal,Benzoyl Peroxide Treatment
U1324,18-24,Sensitive,Moderate,Jawline and chin,Rarely reacts,Alcohol,Large pores,Papules,Medium,Medium,Cold,Follicular,Soothing Cleanser
U0030,13-17,Combination,Mild,Cheeks and jawline,Rarely reacts,Sulfates,Oily/Shiny skin,Blackheads,High,Medium,Hot,,BHA Exfoliant
U1030,35-44,Sensitive,Mild,Cheeks and jawline,Sometimes reacts,Parabens,Large pores,Papules,Low,Low,Moderate,Ovulation,Soothing Cleanser
U0343,35-44,Combination,Severe,Cheeks and jawline,Often reacts,Parabens,Acne and breakouts,Pustules,Low,Low,Hot,Follicular,Retinoid Treatment
U0847,13-17,Sensitive,Mild,Jawline and chin,,Parabens,Dryness or flakiness,Papules,Low,Low,Cold,,Soothing Cleanser
U0417,35-44,Sensitive,Mild,All over face,Rarely reacts,None,Acne and breakouts,Blackheads,Low,High,Moderate,Menstrual,Soothing Cleanser
U0066,13-17,Oily,Severe,All over face,Rarely reacts,Alcohol,Anti-aging,Cyst,Medium,Low,Cold,Menstrual,Retinoid Treatment
U0359,35-44,Sensitive,Severe,All over face,Often reacts,Parabens,Anti-aging,Cyst,High,Low,Cold,Menstrual,Retinoid Treatment
U1233,18-24,Normal,Moderate,Cheeks and jawline,Often reacts,Sulfates,Acne and breakouts,Pustules,Medium,Medium,Cold,None,Soothing Cleanser
U1259,35-44,Oily,Severe,All over face,Often reacts,Parabens,Anti-aging,Blackheads,High,High,Cold,,Retinoid Treatment
U1036,45+,Dry,Mild,All over face,Rarely reacts,None,Oily/Shiny skin,Blackheads,Low,Medium,Hot,Menstrual,Niacinamide Serum
U1175,35-44,Combination,Mild,T-Zone (forehead/nose),Rarely reacts,Parabens,Acne and breakouts,Blackheads,High,Medium,Hot,Follicular,BHA Exfoliant
U0142,13-17,Combination,Mild,Cheeks and jawline,Often reacts,Fragrance,Dryness or flakiness,Whiteheads,Medium,High,Cold,Menstrual,Soothing Cleanser
U0800,35-44,Sensitive,Moderate,T-Zone (forehead/nose),,Alcohol,Acne and breakouts,Papules,Medium,Medium,Cold,None,Soothing Cleanser
U0951,18-24,Sensitive,Severe,,Sometimes reacts,Sulfates,Large pores,Pustules,Low,Medium,Cold,Luteal,Retinoid Treatment
U0515,25-34,Oily,Moderate,All over face,Sometimes reacts,None,Large pores,Blackheads,Medium,Low,Cold,,Niacinamide Serum
U0725,25-34,Normal,Mild,Jawline and chin,Sometimes reacts,,Dark spots/Uneven tone,Blackheads,High,High,Cold,Ovulation,Niacinamide Serum
U0276,45+,Oily,Mild,Jawline and chin,Sometimes reacts,None,Dryness or flakiness,Pustules,Low,Medium,Hot,Menstrual,Niacinamide Serum
U1275,25-34,Sensitive,Mild,T-Zone (forehead/nose),,Fragrance,Oily/Shiny skin,Papules,High,High,Moderate,Luteal,Soothing Cleanser
U1108,13-17,Combination,Mild,All over face,Rarely reacts,Fragrance,Large pores,Blackheads,Low,High,Moderate,Ovulation,BHA Exfoliant
U0514,18-24,Normal,Mild,Jawline and chin,Sometimes reacts,Fragrance,Dryness or flakiness,Blackheads,Medium,High,Hot,None,Niacinamide Serum
U0627,45+,Sensitive,Mild,,Rarely reacts,None,Oily/Shiny skin,Whiteheads,Medium,High,Cold,Follicular,Soothing Cleanser
U1139,25-34,Oily,Severe,Jawline and chin,,Alcohol,Acne and breakouts,Cyst,High,Low,Cold,Luteal,Retinoid Treatment
U1044,35-44,Sensitive,Severe,T-Zone (forehead/nose),Sometimes reacts,Fragrance,Dark spots/Uneven tone,Papules,Low,Medium,Moderate,None,Retinoid Treatment
U0926,25-34,Combination,Mild,,Rarely reacts,Parabens,Acne and breakouts,Whiteheads,High,High,Moderate,,Oil Control Moisturizer
U1007,13-17,Sensitive,Moderate,Cheeks and jawline,Often reacts,Fragrance,Acne and breakouts,Pustules,Low,High,Cold,Follicular,Soothing Cleanser
U0045,18-24,Sensitive,Severe,All over face,Sometimes reacts,None,Anti-aging,Papules,High,Medium,Hot,Menstrual,Benzoyl Peroxide Treatment
U1277,18-24,Oily,Moderate,Cheeks and jawline,Often reacts,,Acne and breakouts,Blackheads,High,Low,Moderate,Follicular,Soothing Cleanser
U0271,35-44,Sensitive,Moderate,Jawline and chin,,None,Large pores,Papules,High,Low,Moderate,Luteal,Soothing Cleanser
U0406,35-44,Normal,Moderate,Cheeks and jawline,Rarely reacts,Alcohol,Large pores,Whiteheads,High,High,Moderate,Follicular,Gentle Hydrating Cleanser
U1090,45+,Dry,Moderate,T-Zone (forehead/nose),Sometimes reacts,Sulfates,Dark spots/Uneven tone,Papules,Medium,High,Moderate,Luteal,Niacinamide Serum
U0116,35-44,Oily,Moderate,Cheeks and jawline,Rarely reacts,Fragrance,Acne and breakouts,Cyst,High,High,Cold,Menstrual,Retinoid Treatment
U1058,35-44,Oily,Moderate,Cheeks and jawline,Often reacts,Parabens,Dryness or flakiness,Papules,High,High,Moderate,None,Soothing Cleanser
U1001,35-44,Normal,Mild,Cheeks and jawline,Sometimes reacts,Parabens,Acne and breakouts,Blackheads,Low,High,Moderate,Follicular,Gentle Hydrating Cleanser
U0793,18-24,Sensitive,Moderate,T-Zone (forehead/nose),Often reacts,Sulfates,Acne and breakouts,Pustules,High,Low,Moderate,Luteal,Soothing Cleanser
U0528,35-44,Normal,Moderate,All over face,Sometimes reacts,Sulfates,Oily/Shiny skin,Pustules,High,High,Hot,Luteal,Niacinamide Serum
U0433,35-44,Oily,Moderate,Cheeks and jawline,Sometimes reacts,Parabens,Oily/Shiny skin,Blackheads,High,High,Hot,Luteal,Niacinamide Serum
U0894,13-17,Oily,Moderate,All over face,Often reacts,Sulfates,Oily/Shiny skin,Blackheads,Medium,Low,Hot,Follicular,Soothing Cleanser
U1197,45+,Dry,Moderate,,Often reacts,Alcohol,Dryness or flakiness,Whiteheads,Low,Low,Cold,Luteal,Soothing Cleanser
U0079,18-24,Combination,Moderate,Cheeks and jawline,Sometimes reacts,Parabens,Anti-aging,Pustules,Medium,Low,Cold,None,Retinoid Treatment
U1234,25-34,Combination,Severe,Cheeks and jawline,Sometimes reacts,Parabens,Acne and breakouts,Pustules,Medium,Medium,Hot,,Retinoid Treatment
U1264,45+,Normal,Moderate,Cheeks and jawline,Rarely reacts,Sulfates,Anti-aging,Pustules,High,Low,Cold,Ovulation,Retinoid Treatment
U0937,35-44,Normal,Moderate,Cheeks and jawline,Rarely reacts,Sulfates,Oily/Shiny skin,Cyst,Low,Low,Moderate,,Retinoid Treatment
U1081,18-24,Combination,Mild,Cheeks and jawline,Sometimes reacts,Sulfates,Dark spots/Uneven tone,Blackheads,Low,High,Hot,Luteal,Niacinamide Serum
U0630,35-44,Dry,Severe,Jawline and chin,Sometimes reacts,Parabens,Oily/Shiny skin,Cyst,Low,Medium,Hot,Luteal,Retinoid Treatment
U1043,25-34,Combination,Moderate,All over face,Rarely reacts,None,Acne and breakouts,Cyst,Low,Medium,Hot,Luteal,Benzoyl Peroxide Treatment
U0016,35-44,Normal,Severe,Jawline and chin,Often reacts,,Oily/Shiny skin,Cyst,Low,Medium,Cold,Luteal,Retinoid Treatment
U1118,45+,Sensitive,Mild,Cheeks and jawline,Often reacts,None,Dark spots/Uneven tone,Blackheads,Low,High,Hot,Follicular,Soothing Cleanser
U1028,13-17,Oily,Moderate,T-Zone (forehead/nose),Sometimes reacts,None,Oily/Shiny skin,Pustules,High,Medium,Moderate,Menstrual,Niacinamide Serum
U0176,45+,Combination,Severe,Jawline and chin,Often reacts,Sulfates,Dryness or flakiness,Cyst,High,Low,Moderate,Luteal,Retinoid Treatment
U0987,18-24,Combination,Mild,Jawline and chin,Often reacts,Fragrance,Anti-aging,Blackheads,Medium,Medium,Moderate,Menstrual,Soothing Cleanser
U1312,35-44,Sensitive,Mild,Cheeks and jawline,Sometimes reacts,Sulfates,Oily/Shiny skin,Papules,Low,Medium,Moderate,Menstrual,Soothing Cleanser
U0866,35-44,Normal,Severe,T-Zone (forehead/nose),Sometimes reacts,,Large pores,Papules,Low,High,Cold,Menstrual,Retinoid Treatment
U0507,18-24,Oily,Mild,Cheeks and jawline,Often reacts,Fragrance,Anti-aging,Pustules,Medium,Low,Cold,Luteal,Soothing Cleanser
U0941,35-44,Dry,Severe,Jawline and chin,Rarely reacts,None,Acne and breakouts,Cyst,Low,Low,Hot,Menstrual,Benzoyl Peroxide Treatment
U0366,13-17,Sensitive,Mild,All over face,Rarely reacts,Parabens,Dark spots/Uneven tone,Papules,High,High,Cold,None,Soothing Cleanser
U0549,13-17,Combination,Mild,All over face,Often reacts,None,Dryness or flakiness,Blackheads,Medium,Medium,Cold,Menstrual,Soothing Cleanser
U0204,13-17,Sensitive,Severe,Jawline and chin,Often reacts,None,Oily/Shiny skin,Papules,Low,Low,Hot,Follicular,Retinoid Treatment
U0781,45+,Combination,Mild,All over face,Rarely reacts,Fragrance,Large pores,Blackheads,Low,Low,Cold,None,BHA Exfoliant
U1221,45+,Sensitive,Severe,Jawline and chin,Sometimes reacts,Sulfates,Oily/Shiny skin,Whiteheads,High,Medium,Cold,Follicular,Retinoid Treatment
U1297,13-17,Normal,Moderate,T-Zone (forehead/nose),Sometimes reacts,Parabens,Oily/Shiny skin,Blackheads,Medium,Medium,Moderate,None,Gentle Hydrating Cleanser
U1262,25-34,Oily,Moderate,T-Zone (forehead/nose),Often reacts,,Dryness or flakiness,Papules,High,High,Hot,Follicular,Soothing Cleanser
U0809,18-24,Oily,Severe,Cheeks and jawline,Rarely reacts,None,Oily/Shiny skin,Blackheads,Low,High,Cold,None,Benzoyl Peroxide Treatment
U0911,13-17,Dry,Moderate,All over face,Often reacts,Alcohol,Acne and breakouts,Papules,Medium,High,Moderate,Luteal,Soothing Cleanser
U1388,45+,Normal,Mild,All over face,Rarely reacts,Sulfates,Oily/Shiny skin,Blackheads,Low,Low,Hot,Follicular,Gentle Hydrating Cleanser
U0185,45+,Dry,Mild,Cheeks and jawline,Often reacts,Fragrance,Dark spots/Uneven tone,Papules,Medium,High,Moderate,Luteal,Soothing Cleanser
U1465,35-44,Normal,Mild,Jawline and chin,Rarely reacts,Sulfates,Dryness or flakiness,Blackheads,Low,High,Cold,Follicular,Niacinamide Serum
U0480,18-24,Combination,Mild,All over face,Rarely reacts,Fragrance,Dryness or flakiness,Blackheads,Low,Medium,Hot,Follicular,BHA Exfoliant
U0057,45+,Oily,Moderate,T-Zone (forehead/nose),Sometimes reacts,None,Dark spots/Uneven tone,Blackheads,High,Medium,Cold,,BHA Exfoliant
